Category,Full_Category,Count,Prevalence_Percent,Mean_Score,Median_Score,Importance_Score
express their opinion,Comment_express their opinion,30596,84.31437389770723,12.79791476009936,3.0,1079.0481701940034
societal critique,Critique_societal critique,26660,73.46781305114638,12.931582895723931,3.0,950.0551146384479
provide a fact or claim,Comment_provide a fact or claim,25019,68.9456569664903,13.186778048683001,4.0,909.1710758377426
provide an observation,Comment_provide an observation,13470,37.11970899470899,14.749220489977729,4.0,547.4867724867725
deserving/undeserving,Perception_deserving/undeserving,11998,33.06327160493827,14.881730288381396,4.0,492.0386904761905
harmful generalization,Perception_harmful generalization,10236,28.20767195767196,15.58450566627589,4.0,439.6026234567902
government critique,Critique_government critique,10290,28.35648148148148,13.57463556851312,3.0,384.9289021164021
solutions/interventions,Response_solutions/interventions,9499,26.176697530864196,13.151068533529845,3.0,344.2515432098765
money aid allocation,Critique_money aid allocation,8035,22.142305996472665,13.041568139390169,3.0,288.7703924162258
personal interaction,Perception_personal interaction,5259,14.49239417989418,16.105153070926033,4.0,233.40222663139332
express others opinions,Comment_express others opinions,5875,16.18992504409171,13.783489361702127,3.0,223.1536596119929
not in my backyard,Perception_not in my backyard,3404,9.380511463844798,17.849588719153935,5.0,167.43827160493828
ask a genuine question,Comment_ask a genuine question,4518,12.450396825396826,9.120185922974768,3.0,113.54993386243387
ask a rhetorical question,Comment_ask a rhetorical question,3868,10.659171075837742,8.355739400206826,2.0,89.0652557319224
media portrayal,Perception_media portrayal,2513,6.925154320987654,11.328292877039395,3.0,78.45017636684304
racist,Racist_Flag,58,0.15983245149911815,5.5344827586206895,2.0,0.884589947089947
