Category,N,Positive_%,Neutral_%,Negative_%,Mean_Sentiment
Response_solutions/interventions,25535,68.87409438026239,7.840219306833758,23.28568631290386,0.45588408067358527
Critique_money aid allocation,16054,64.69415721938458,7.717702753207924,27.588140027407498,0.37106017191977075
Perception_media portrayal,5156,55.29480217222653,5.643910007757952,39.061287820015515,0.16233514352211018
Critique_government critique,20232,53.247330960854086,7.690786872281534,39.06188216686438,0.1418544879398972
Comment_ask a genuine question,6622,46.964663243733014,17.940199335548172,35.095137420718814,0.11869525823014195
Comment_express their opinion,65392,41.62282848054808,27.49265965255689,30.884511866895032,0.10738316613653046
Comment_provide a fact or claim,163413,13.605404710763525,75.47257562127861,10.922019667957873,0.02683385042805652
Comment_provide an observation,29658,31.691280598826623,38.45168251399285,29.857036887180527,0.01834243711646099
Perception_personal interaction,7556,46.22816304923239,9.105346744309157,44.66649020645844,0.015616728427739545
Comment_express others opinions,60699,8.818926176708018,83.41653075009474,7.7645430731972525,0.010543831035107662
Perception_not in my backyard,4522,44.71472799646175,8.071649712516587,47.21362229102167,-0.024988942945599293
Critique_societal critique,135492,10.636052313051692,76.22885484013815,13.135092846810142,-0.024990405337584506
Perception_deserving/undeserving,15671,42.945568247080594,7.995660774679345,49.05877097824006,-0.061132027311594665
Comment_ask a rhetorical question,5087,41.28169844702182,9.47513269117358,49.2431688618046,-0.0796147041478278
Racist_Flag,71,38.028169014084504,12.676056338028168,49.29577464788733,-0.11267605633802817
Perception_harmful generalization,13872,35.08506343713956,10.164359861591695,54.75057670126874,-0.1966551326412918
