trigger,fp_rate,tn_rate,odds_ratio_vs_tn,fp_rate_minus_tn
explicit_nimby,0.02564102564102564,0.0,263.1315789473684,0.02564102564102564
rhetorical_cue,0.06837606837606838,0.001488095238095238,49.247706422018354,0.06688797313797315
question_mark,0.3247863247863248,0.09672619047619048,4.491918208373905,0.22806013431013433
housing_general,0.8974358974358975,0.7217261904761905,3.3737113402061873,0.175709706959707
proximity_local,0.09401709401709402,0.03869047619047619,2.578374455732946,0.055326617826617824
opposition_verbs,0.08547008547008547,0.04017857142857143,2.232606438213915,0.04529151404151404
development,0.10256410256410256,0.07589285714285714,1.3915966386554623,0.026671245421245424
policy_numbers,0.042735042735042736,0.05505952380952381,0.7661679536679536,-0.012324481074481072
shelter_siting,0.042735042735042736,0.05803571428571429,0.7245879120879121,-0.015300671550671552
affordable_housing,0.1111111111111111,0.16815476190476192,0.6183628318584071,-0.05704365079365081
