Category,Full_Category,N_Category,N_Other,Mean_Category,Mean_Other,Median_Category,Median_Other,Difference,P_Value,P_Value_Corrected,Significant,Direction,Cohens_D
ask a genuine question,Comment_ask a genuine question,222,3373,0.013080687636325817,0.016486481816507435,0.0,0.0,-0.003405794180181618,0.13978073214380127,1.0,False,NS,-0.11094569813734771
ask a rhetorical question,Comment_ask a rhetorical question,413,3182,0.01633688391311176,0.016268284967388046,0.0,0.0,6.85989457237142e-05,0.2782208797707504,1.0,False,NS,0.0020818241519326903
provide a fact or claim,Comment_provide a fact or claim,2345,1250,0.015546363692989494,0.017645274369826835,0.0,0.0,-0.0020989106768373404,0.6112185948983774,1.0,False,NS,-0.05695524509394119
provide an observation,Comment_provide an observation,1475,2120,0.017753774825550857,0.01524811224276245,0.000982689545695064,0.0,0.0025056625827884066,0.0011482839901531482,0.01837254384245037,True,HIGHER,0.0697747642333586
express their opinion,Comment_express their opinion,2937,658,0.017822537714657742,0.009373894459565537,0.0,0.0004947737306600132,0.008448643255092205,0.003685617947147529,0.05896988715436047,False,NS,0.2741653763008158
express others opinions,Comment_express others opinions,433,3162,0.016095841311968364,0.016300859118994815,0.0013201320132013201,0.0,-0.00020501780702645092,0.09567901469715465,1.0,False,NS,-0.006220967751206642
money aid allocation,Critique_money aid allocation,608,2987,0.017337211932398445,0.01606019115080203,0.0,0.0,0.0012770207815964163,0.8273347819957522,1.0,False,NS,0.03695543227226565
government critique,Critique_government critique,1180,2415,0.018089488727518657,0.015390152846323767,0.0,0.0,0.0026993358811948902,0.2947018722098962,1.0,False,NS,0.07704522205181784
societal critique,Critique_societal critique,1721,1874,0.017504397860654282,0.015148210834662697,0.0,0.0,0.002356187025991585,0.049770813225684704,0.7963330116109553,False,NS,0.06718510382407408
solutions/interventions,Response_solutions/interventions,792,2803,0.012883715445054641,0.017234717513328803,0.0,0.0,-0.004351002068274162,0.25187064978921136,1.0,False,NS,-0.1326857628874883
personal interaction,Perception_personal interaction,712,2883,0.018453905324487683,0.015738340350783447,0.0017972250490341712,0.0,0.0027155649737042355,0.004874132067899679,0.07798611308639486,False,NS,0.0712096545737013
media portrayal,Perception_media portrayal,348,3247,0.020096271907478022,0.015866742592713753,0.0014855832776170647,0.0,0.0042295293147642694,0.10309604465355242,1.0,False,NS,0.10190925497365161
not in my backyard,Perception_not in my backyard,263,3332,0.0160301129678294,0.016295587068368783,0.0,0.0,-0.00026547410053938403,0.7278745303721019,1.0,False,NS,-0.00829121209324498
harmful generalization,Perception_harmful generalization,1414,2181,0.018613106140313074,0.014761065447015694,0.0,0.0,0.0038520406932973806,0.388202940124193,1.0,False,NS,0.10560694489736418
deserving/undeserving,Perception_deserving/undeserving,649,2946,0.017734754665139626,0.01595484047680526,0.0,0.0,0.001779914188334366,0.42490932673847936,1.0,False,NS,0.051564964510681655
racist,Racist_Flag,6,3589,0.0,0.016303375821215913,0.0,0.0,-0.016303375821215913,0.0306128290288875,0.4898052644622,False,NS,-0.6547796816520882
