City_Size,Category,Full_Category,Count,Percentage,Size_Total,Overall_Percentage,Difference,P_Value,Significant
Large,ask a genuine question,Comment_ask a genuine question,209,6.2276519666269365,3356,6.1752433936022255,0.052408573024711025,0.7262459118382745,False
Large,ask a rhetorical question,Comment_ask a rhetorical question,397,11.829558998808105,3356,11.48817802503477,0.3413809737733349,0.021428112429567738,True
Large,provide a fact or claim,Comment_provide a fact or claim,2167,64.57091775923719,3356,65.22948539638386,-0.6585676371466747,0.0023921329813777923,True
Large,provide an observation,Comment_provide an observation,1385,41.269368295589985,3356,41.02920723226704,0.24016106332294385,0.30351339965092905,False
Large,express their opinion,Comment_express their opinion,2794,83.253873659118,3356,81.69680111265647,1.5570725464615265,3.2341876185342795e-19,True
Large,express others opinions,Comment_express others opinions,419,12.485101311084625,3356,12.044506258692628,0.4405950523919966,0.0032973460588037397,True
Large,money aid allocation,Critique_money aid allocation,573,17.073897497020262,3356,16.91237830319889,0.16151919382137336,0.37951452256527185,False
Large,government critique,Critique_government critique,1128,33.61144219308701,3356,32.82336578581363,0.7880764072733797,0.00021604570521825055,True
Large,societal critique,Critique_societal critique,1658,49.404052443384984,3356,47.872044506258696,1.5320079371262878,8.88993173030617e-12,True
Large,solutions/interventions,Response_solutions/interventions,669,19.93444576877235,3356,22.030598052851182,-2.0961522840788334,1.5985138400848862e-29,True
Large,personal interaction,Perception_personal interaction,667,19.87485101311085,3356,19.80528511821975,0.06956589489109888,0.7579343138605913,False
Large,media portrayal,Perception_media portrayal,328,9.773539928486292,3356,9.680111265646731,0.09342866283956042,0.5506994198277212,False
Large,not in my backyard,Perception_not in my backyard,248,7.389749702026221,3356,7.3157162726008345,0.07403342942538682,0.6098848211182695,False
Large,harmful generalization,Perception_harmful generalization,1372,40.88200238379023,3356,39.33240611961057,1.5495962641796623,1.6795129876809561e-12,True
Large,deserving/undeserving,Perception_deserving/undeserving,610,18.176400476758044,3356,18.052851182197497,0.1235492945605472,0.525638106435115,False
Large,racist,Racist_Flag,6,0.17878426698450536,3356,0.16689847009735745,0.011885796887147915,1.0,False
Small,ask a genuine question,Comment_ask a genuine question,13,5.439330543933055,239,6.1752433936022255,-0.7359128496691705,0.7262459118382745,False
Small,ask a rhetorical question,Comment_ask a rhetorical question,16,6.694560669456067,239,11.48817802503477,-4.793617355578704,0.021428112429567738,True
Small,provide a fact or claim,Comment_provide a fact or claim,178,74.47698744769873,239,65.22948539638386,9.247502051314868,0.0023921329813777915,True
Small,provide an observation,Comment_provide an observation,90,37.65690376569037,239,41.02920723226704,-3.3723034665766676,0.30351339965092905,False
Small,express their opinion,Comment_express their opinion,143,59.83263598326359,239,81.69680111265647,-21.86416512939288,3.2341876185342795e-19,True
Small,express others opinions,Comment_express others opinions,14,5.857740585774058,239,12.044506258692628,-6.18676567291857,0.0032973460588037397,True
Small,money aid allocation,Critique_money aid allocation,35,14.644351464435147,239,16.91237830319889,-2.268026838763742,0.37951452256527185,False
Small,government critique,Critique_government critique,52,21.75732217573222,239,32.82336578581363,-11.066043610081408,0.00021604570521825055,True
Small,societal critique,Critique_societal critique,63,26.359832635983267,239,47.872044506258696,-21.51221187027543,8.88993173030617e-12,True
Small,solutions/interventions,Response_solutions/interventions,123,51.46443514644351,239,22.030598052851182,29.43383709359233,1.5985138400848862e-29,True
Small,personal interaction,Perception_personal interaction,45,18.828451882845187,239,19.80528511821975,-0.9768332353745635,0.7579343138605913,False
Small,media portrayal,Perception_media portrayal,20,8.368200836820083,239,9.680111265646731,-1.311910428826648,0.5506994198277212,False
Small,not in my backyard,Perception_not in my backyard,15,6.2761506276150625,239,7.3157162726008345,-1.039565644985772,0.6098848211182695,False
Small,harmful generalization,Perception_harmful generalization,42,17.573221757322173,239,39.33240611961057,-21.759184362288394,1.6795129876809505e-12,True
Small,deserving/undeserving,Perception_deserving/undeserving,39,16.317991631799163,239,18.052851182197497,-1.7348595503983333,0.525638106435115,False
Small,racist,Racist_Flag,0,0.0,239,0.16689847009735745,-0.16689847009735745,1.0,False
